user_id,plan_type,monthly_price,start_date,end_date,country,status
1,Free,0,2023-06-21,,CA,Active
2,Free,0,2022-08-01,,JP,Active
3,Free,0,2022-03-20,2022-10-08,AU,Churned
4,Pro,15,2023-03-20,,JP,Active
5,Business,30,2023-11-23,,AU,Active
6,Free,0,2023-04-08,,CA,Active
7,Free,0,2023-02-10,,CA,Active
8,Free,0,2022-04-21,,AU,Active
9,Pro,15,2023-02-06,2023-10-17,CA,Churned
10,Pro,15,2023-09-03,,JP,Active
11,Pro,15,2023-01-07,2023-10-22,JP,Churned
12,Free,0,2022-01-03,,UK,Active
13,Pro,15,2024-04-08,,US,Active
14,Pro,15,2023-11-23,,UK,Active
15,Pro,15,2024-04-10,,JP,Active
16,Pro,15,2023-09-16,2024-09-12,UK,Churned
17,Pro,15,2024-04-04,2025-04-05,UK,Churned
18,Pro,15,2022-07-22,,US,Active
19,Free,0,2022-03-07,2022-10-04,US,Churned
20,Pro,15,2023-03-05,,CA,Active
21,Pro,15,2023-05-24,,US,Active
22,Business,30,2022-09-10,,US,Active
23,Pro,15,2022-11-17,,JP,Active
24,Pro,15,2024-05-27,,UK,Active
25,Pro,15,2023-04-29,,CA,Active
26,Pro,15,2023-05-26,,CA,Active
27,Business,30,2023-04-27,,CA,Active
28,Pro,15,2023-03-01,,CA,Active
29,Free,0,2022-08-20,,AU,Active
30,Pro,15,2023-03-22,2023-10-03,CA,Churned
31,Pro,15,2023-01-21,,UK,Active
32,Business,30,2024-01-03,2024-08-05,UK,Churned
33,Free,0,2023-04-28,2023-09-18,JP,Churned
34,Pro,15,2024-05-24,2024-08-20,JP,Churned
35,Pro,15,2022-07-16,,JP,Active
36,Free,0,2023-06-23,2023-12-06,UK,Churned
37,Pro,15,2022-06-26,,AU,Active
38,Pro,15,2023-10-30,2024-03-26,UK,Churned
39,Free,0,2022-06-02,,AU,Active
40,Pro,15,2022-09-29,,US,Active
41,Free,0,2022-10-18,,CA,Active
42,Pro,15,2024-03-09,2024-09-14,US,Churned
43,Free,0,2023-05-11,2023-10-06,AU,Churned
44,Pro,15,2024-04-05,,AU,Active
45,Free,0,2022-06-24,,UK,Active
46,Pro,15,2022-01-22,,UK,Active
47,Pro,15,2022-03-11,,UK,Active
48,Pro,15,2024-02-04,2024-09-04,AU,Churned
49,Pro,15,2023-07-03,2024-02-23,US,Churned
50,Free,0,2024-03-14,,UK,Active
51,Free,0,2022-08-18,2023-09-18,US,Churned
52,Pro,15,2023-01-28,2023-04-19,AU,Churned
53,Pro,15,2023-05-13,,AU,Active
54,Pro,15,2024-06-03,,JP,Active
55,Free,0,2022-06-17,2022-12-16,US,Churned
56,Pro,15,2022-02-16,,JP,Active
57,Pro,15,2022-03-22,,AU,Active
58,Business,30,2023-12-04,,CA,Active
59,Pro,15,2022-02-07,,UK,Active
60,Pro,15,2022-05-02,2022-07-26,UK,Churned
61,Free,0,2024-02-21,,CA,Active
62,Business,30,2023-01-12,2023-10-19,UK,Churned
63,Pro,15,2023-12-30,,JP,Active
64,Business,30,2023-05-17,,UK,Active
65,Free,0,2022-04-13,2023-04-15,CA,Churned
66,Pro,15,2022-10-11,,AU,Active
67,Free,0,2022-11-09,,JP,Active
68,Business,30,2023-08-09,,JP,Active
69,Business,30,2023-07-26,,CA,Active
70,Free,0,2023-06-11,,JP,Active
71,Pro,15,2022-04-22,2022-08-22,CA,Churned
72,Free,0,2024-03-07,,AU,Active
73,Pro,15,2022-07-24,,CA,Active
74,Pro,15,2023-05-15,,US,Active
75,Pro,15,2024-03-12,,UK,Active
76,Pro,15,2022-05-05,,UK,Active
77,Business,30,2022-05-18,,CA,Active
78,Pro,15,2023-01-13,,US,Active
79,Business,30,2024-05-16,,JP,Active
80,Pro,15,2022-09-03,,UK,Active
81,Free,0,2023-12-11,2024-08-08,AU,Churned
82,Pro,15,2023-04-03,,US,Active
83,Business,30,2022-09-23,,UK,Active
84,Business,30,2022-11-12,2023-07-08,US,Churned
85,Business,30,2022-11-29,,US,Active
86,Free,0,2022-09-21,,US,Active
87,Business,30,2023-03-05,,AU,Active
88,Pro,15,2022-11-25,,US,Active
89,Free,0,2024-04-06,,AU,Active
90,Pro,15,2024-06-15,,JP,Active
91,Pro,15,2022-02-12,,US,Active
92,Pro,15,2022-11-02,,CA,Active
93,Free,0,2024-05-01,,UK,Active
94,Pro,15,2023-03-07,,JP,Active
95,Pro,15,2023-11-04,,UK,Active
96,Free,0,2022-05-09,,UK,Active
97,Business,30,2022-03-22,2022-07-18,UK,Churned
98,Free,0,2022-02-23,,JP,Active
99,Pro,15,2023-01-31,2024-02-21,CA,Churned
100,Free,0,2023-01-10,,JP,Active
101,Business,30,2022-01-12,,US,Active
102,Business,30,2023-08-15,2024-08-18,CA,Churned
103,Free,0,2024-03-22,,UK,Active
104,Pro,15,2022-10-11,2023-10-08,JP,Churned
105,Pro,15,2023-09-09,2024-09-11,JP,Churned
106,Free,0,2023-12-19,,AU,Active
107,Free,0,2023-01-22,,AU,Active
108,Pro,15,2022-05-14,,CA,Active
109,Pro,15,2022-06-22,2023-03-26,AU,Churned
110,Free,0,2022-08-26,2022-12-20,JP,Churned
111,Free,0,2022-06-22,,UK,Active
112,Business,30,2022-02-12,2023-02-11,UK,Churned
113,Pro,15,2024-04-16,2025-01-26,JP,Churned
